JD,Magnitude
2458117.3024,0.539
2458117.3043,0.532
2458119.4257,0.559
2458119.4277,0.558
2458121.358,0.559
2458122.3352,0.536
2458122.3372,0.529
2458136.2901,0.507
2458138.237,0.5
2458138.2389,0.514
2458143.2276,0.515
2458143.2294,0.538
2458144.2546,0.53
2458144.2565,0.514
2458148.2395,0.526
2458148.2425,0.534
2458148.568,0.281
2458150.2525,0.533
2458150.2543,0.54
2458154.3,0.534
2458154.3019,0.528
2458174.255,0.55
2458174.2997,0.535
2458175.2649,0.54
2458175.2668,0.545
2458178.2502,0.529
2458178.2521,0.522
2458181.6194,0.484
2458181.623,0.496
2458186.3031,0.533
2458186.3049,0.558
2458189.568,0.0467
2458191.579,0.499
2458199.2587,0.541
2458199.2603,0.538
2458202.2749,0.447
2458202.2769,0.422
2458203.2882,0.457
2458203.2903,0.445
2458203.5688,0.467
2458211.2738,0.47
2458211.2757,0.486
2458215.3101,0.445
2458215.312,0.443
2458217.2805,0.401
2458217.2825,0.428
2458227.2909,0.341
2458227.2925,0.367
2458367.6358,0.472
2458367.6378,0.476
2458368.5629,0.476
2458368.5648,0.496
2458368.609,0.466
2458368.6109,0.48
2458370.613,0.575
2458370.6149,0.549
2458373.6216,0.586
2458373.6236,0.551
2458381.6139,0.501
2458381.6163,0.503
2458385.9932,0.475
2458386.6551,0.514
2458387.9694,0.479
2458388.6053,0.53
2458388.6072,0.541
2458388.9726,0.487
2458391.6325,0.56
2458391.6344,0.543
2458395.6577,0.595
2458395.6596,0.579
2458397.6244,0.579
2458397.6264,0.573
2458400.6083,0.57
2458400.6101,0.588
